method,rouge1,rouge2,rougeL,rougeLsum
Zero-Shot,0.16449848037556167,0.03672810541778106,0.10879000504976052,0.139311284943717
Few-Shot,0.1648973290064954,0.016656690669090316,0.10446469774321038,0.135647561334979
Optimized Prompt,0.1484046563557713,0.03288999010981058,0.10173488911313056,0.12760047653797338
